Creator,Series ,Video No,Game No ,Opponent Name,Time Hours,Minutes,Seconds,ELO,Notes
Naroditsky,Back to 3000,38,96,k33ptrying,0,0,8,,Different name
Naroditsky,Back to 3000,38,97,ions26,0,16,28,,
Naroditsky,Back to 3000,39,98,agrotis,0,0,12,,
Naroditsky,Back to 3000,39,99,dusan555,0,13,17,,
Naroditsky,Back to 3000,40,100,mengermania,0,0,0,,
Naroditsky,Back to 3000,40,101,Kadu_de_Souza,0,19,40,,
Naroditsky,Back to 3000,41,102,rayan147,0,0,0,,
Naroditsky,Back to 3000,42,103,Budihartonomsp,0,0,5,,
Naroditsky,Back to 3000,42,104,aposbapa,0,14,23,,
Naroditsky,Back to 3000,43,105,ChessLebaneseSalah,0,0,9,1975,
Naroditsky,Back to 3000,43,106,dobrin357,0,18,43,,
Naroditsky,Back to 3000,44,107,PlatinUmba,0,0,10,,
Naroditsky,Back to 3000,44,108,ChessLebaneseSalah,0,13,43,2003,2nd time! 
Naroditsky,Back to 3000,45,109,Tjuna,0,0,2,,
Naroditsky,Back to 3000,45,110,roychristian224,0,12,0,,
Naroditsky,Back to 3000,46,111,jameswagey,0,0,13,,
Naroditsky,Back to 3000,47,112,Levansalamadze,0,0,15,,
Naroditsky,Back to 3000,47,113,dobur,0,15,49,,
Naroditsky,Back to 3000,47,114,mellsipp,0,21,54,,
Naroditsky,Back to 3000,48,115,sandyrosechessfan,0,0,46,,Different name
Naroditsky,Back to 3000,49,116,fredham,0,0,8,,
Naroditsky,Back to 3000,49,117,gol-dad,0,24,22,,
Naroditsky,Back to 3000,50,118,kushalbanerjee,0,0,31,,
Naroditsky,Back to 3000,50,119,VanyaHargreeves,0,19,38,2089,
Naroditsky,Back to 3000,51,120,Riomir,0,0,7,,
Naroditsky,Back to 3000,52,121,MisterNWA,0,0,19,,
Naroditsky,Back to 3000,52,122,grosbidepoilu,0,17,30,,
Naroditsky,Back to 3000,53,123,spicyindianswag,0,0,8,,
Naroditsky,Back to 3000,53,124,GMmauryahram,0,18,16,,
Naroditsky,Back to 3000,54,125,VanyaHargreeves,0,0,12,2146,2nd time
Naroditsky,Back to 3000,54,126,mgokun,0,22,22,,
Naroditsky,Back to 3000,55,127,georgigrigorov55,0,0,7,,
Naroditsky,Back to 3000,55,128,x0Stark69,0,21,50,,
Naroditsky,Back to 3000,56,129,guildwars123,0,0,15,,
Naroditsky,Back to 3000,56,130,AshotMsaker,0,16,19,2190,Diferent name 
Naroditsky,Back to 3000,56,131,enricotripoli,0,34,3,,
Naroditsky,Back to 3000,57,132,fanof163,0,0,50,,
Naroditsky,Back to 3000,58,133,CrackrazorATM,0,0,9,,
Naroditsky,Back to 3000,58,134,MiguelMejiaE,0,16,20,,
Naroditsky,Back to 3000,59,135,TheMomBodShuffle-inactive,0,0,14,,
Naroditsky,Back to 3000,59,136,VanyaHargreeves,0,10,54,2242,3rd? 
Naroditsky,Back to 3000,60,137,Schwindelaar,0,0,9,,
Naroditsky,Back to 3000,61,138,hbpencil1,0,0,17,,
Naroditsky,Back to 3000,61,139,AshotMsaker,0,18,54,2265,
Naroditsky,Back to 3000,62,140,EdawgChessMood,0,0,10,2266,
Naroditsky,Back to 3000,62,141,Witpensstekelstert,0,18,32,,
Naroditsky,Back to 3000,63,142,uwinthant,0,0,11,,
Naroditsky,Back to 3000,63,143,Matthilde,0,10,26,2291,
Naroditsky,Back to 3000,63,144,Matthilde,0,22,47,2299,
Naroditsky,Back to 3000,64,145,chesskid1220,0,0,0,,
Naroditsky,Back to 3000,64,146,gilepile70,0,19,56,,
Naroditsky,Back to 3000,65,147,KarateBaby,0,0,13,2312,
Naroditsky,Back to 3000,65,148,Pushdapawn,0,20,2,,
Naroditsky,Back to 3000,66,149,arcanine18,0,0,8,,
Naroditsky,Back to 3000,66,150,JimmyFallon1,0,12,56,2338,
Naroditsky,Back to 3000,67,151,JimmyFallon1,0,0,20,2331,
Naroditsky,Back to 3000,67,152,JimmyFallon1,0,12,7,2341,
Naroditsky,Back to 3000,68,153,not-a-rapper,0,0,8,,
Naroditsky,Back to 3000,69,154,awodiajiod10,0,0,24,,
Naroditsky,Back to 3000,69,155,Kote_Makharadze,0,14,40,,
Naroditsky,Back to 3000,70,156,steka121,0,0,13,,
Naroditsky,Back to 3000,70,157,TutoBaraoOFC,0,14,31,,
Naroditsky,Back to 3000,71,158,gavinPMF,0,0,5,,
Naroditsky,Back to 3000,71,159,johndavis_59,0,11,48,2400,
